"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW3,SW1";"SW_Hotswap_Kailh_Choc_V1V2";2;"GPIO10";;;
2;"SW4";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO11";;;
3;"SW5,SW6";"SW_Hotswap_Kailh_Choc_V1V2";2;"GPIO16";;;
4;"SW12";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO18";;;
5;"SW13";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO25";;;
6;"SW14";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO27";;;
7;"SW15";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO29";;;
8;"SW8";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO19";;;
9;"SW9,SW16,SW7";"SW_Hotswap_Kailh_Choc_V1V2";3;"GPIO24";;;
10;"SW10";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO26";;;
11;"SW11";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO28";;;
12;"SW2";"SW_Hotswap_Kailh_Choc_V1V2";1;"GPIO9";;;
13;"R11,R10";"R_0402_1005Metric";2;"5.1k";;;
14;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
15;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"C_0402";17;"C_0402_1005Metric";;;
16;"R7,R5";"R_0402_1005Metric";2;"22";;;
17;"C6,C9,C1,C8,C10,C18,C7,C5,C4,C3";"C_0402_1005Metric";10;"100n";;;
18;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"LED_SK6812_EC15_1.5x1.5mm";20;"LED_SK6812_EC15_1.5x1.5mm";;;
19;"U4";"ECMF02-4CMX8";1;"~";;;
20;"C12,C13";"C_0402_1005Metric_small_pads";2;"4.7u";;;
21;"C17,C16";"C_0402_1005Metric";2;"15p";;;
22;"C14,C15";"C_0402_1005Metric";2;"1u";;;
23;"REF**,REF**";"C_0603";2;"C_0603_1608Metric";;;
24;"R3,R2";"R_0402_1005Metric";2;"27";;;
25;"REF**";"SOT-23-5";1;"SOT-23-5";;;
26;"F1";"Fuse_0805_2012Metric";1;"500m";;;
27;"SW19,SW20";"SW_SPST_EVQP2_ShortPushTravel_H2.1mm";2;"SW_Push";;;
28;"C11,C2";"C_0402_1005Metric";2;"4.7u";;;
29;"U?";"OLED-TH_L38.0-W12.0_HS91L02W2C01";1;"OLED-TH_L38.0-W12.0_HS91L02W2C01";;;
30;"U2";"SOT-23-5";1;"TLV73333PDBV";;;
31;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
32;"R6,R4,R8";"R_0402_1005Metric";3;"1k";;;
33;"U1";"RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_60QFN";;;
34;"L1";"L_pol_2016";1;"3.3u";;;
35;"REF**";"R_0402";1;"R_0402_1005Metric";;;
36;"R1";"R_0402_1005Metric";1;"33";;;
37;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
38;"C19";"CP_EIA-3528-21_Kemet-B";1;"100u";;;
39;"USB2";"USB_A_TE_292303-7_Horizontal";1;"USB_A";;;
