Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C18, C3, C4, C5, C6, C7, C8, C9",0402,10,100n,C1525
"C11, C12, C13, C2",0402,4,4.7u,C23733
"C14, C15",0402,2,1u,C52923
"C16, C17",0402,2,15p,C1548
C19,CP_EIA-3528-21_Kemet-B,1,100u,C16133
F1,0805,1,500m,C2833485
L1,L_pol_2016,1,3.3u,C42411119
R1,0402,1,33,C25105
"R10, R11",0402,2,5.1k,C25905
"R2, R3",0402,2,27,C138021
"R4, R6, R8",0402,3,1k,C11702
"R5, R7",0402,2,22,C102906
"SW1_2, SW3_2",SW_Hotswap_Kailh_Choc_V1V2,2,GPIO10,
SW10,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO26,
SW11,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO28,
SW12,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO18,
SW13,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO25,
SW14,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO27,
SW15,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO29,
"SW16, SW7, SW9",SW_Hotswap_Kailh_Choc_V1V2,3,GPIO24,
"SW19, SW20",SW_SPST_EVQP2_ShortPushTravel_H2.1mm,2,SW_Push,C318884
SW2_2,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO9,
SW4_2,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO11,
"SW5_2, SW6_2",SW_Hotswap_Kailh_Choc_V1V2,2,GPIO16,
SW8,SW_Hotswap_Kailh_Choc_V1V2,1,GPIO19,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U2,SOT-23-5,1,TLV73333PDBV,C134139
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,ECMF02-4CMX8,1,~,C717678
U?,OLED-TH_L38.0-W12.0_HS91L02W2C01,1,OLED-TH_L38.0-W12.0_HS91L02W2C01,
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,C165948
USB2,USB_A_TE_292303-7_Horizontal,1,USB_A,C2763302
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
