Designator,Mid X,Mid Y,Rotation,Layer
C1,-29.23232,37.683442,180.0,top
C10,-24.91232,29.771882,180.0,top
C11,-18.20732,42.183442,270.0,top
C12,-20.53232,41.733442,0.0,top
C13,-20.53232,42.683442,0.0,top
C14,-10.16232,41.573442,0.0,top
C15,-15.69232,42.053442,90.0,top
C16,-24.68232,28.171882,180.0,top
C17,-21.70232,28.171882,0.0,top
C18,-32.78232,50.833442,90.0,top
C19,49.41768,32.733442,180.0,bottom
C2,-21.73232,30.903442,270.0,top
C3,-12.03232,37.196882,0.0,top
C4,-24.63232,44.533442,90.0,top
C5,-27.33232,40.333442,270.0,top
C6,-12.03232,36.171882,0.0,top
C7,-32.771998,35.68875,180.0,top
C8,-18.30732,32.358442,0.0,top
C9,-17.03232,39.833442,0.0,top
F1,-6.91982,46.383442,180.0,top
L1,-20.53232,44.333442,180.0,top
R1,-18.20732,44.033442,270.0,top
R10,-10.93232,49.933442,180.0,top
R11,-6.88232,49.483442,270.0,top
R2,-23.63232,44.511882,270.0,top
R3,-22.63232,44.521882,270.0,top
R4,-30.03232,40.983442,270.0,top
R5,-14.23232,32.783442,180.0,top
R6,-37.29232,23.221882,0.0,top
R7,-14.23232,33.883442,180.0,top
R8,-22.93232,30.883442,270.0,top
SW1_2,-59.78232,2.320882,0.0,top
SW10,80.91768,-45.858118,0.0,top
SW11,110.12768,-51.018118,0.0,top
SW12,31.06768,-25.928118,0.0,top
SW13,57.62768,-14.398118,0.0,top
SW14,86.59768,-14.278118,0.0,top
SW15,115.56768,-19.678118,0.0,top
SW16,32.56768,2.220882,0.0,top
SW19,-42.58232,28.133442,90.0,top
SW2_2,-97.067742,-24.94725,0.0,top
SW20,-36.93232,28.133442,90.0,top
SW3_2,-67.972742,-25.06725,0.0,top
SW4_2,-41.372742,-36.41725,0.0,top
SW5_2,-23.872742,-89.51725,0.0,top
SW6_2,16.06768,-89.529118,0.0,top
SW7,49.115505,-73.699123,0.0,top
SW8,25.45768,-56.968118,0.0,top
SW9,52.06768,-45.858118,0.0,top
U1,-22.53232,37.133442,0.0,top
U2,-13.06232,42.523442,180.0,top
U3,-29.23232,47.083442,270.0,top
U4,-11.03232,47.233442,90.0,top
U?,-88.28232,51.233442,0.0,top
USB1,-8.43232,54.449442,180.0,top
USB2,63.46768,32.733442,270.0,bottom
Y1,-23.28232,24.771882,0.0,top
